GENESIS-Tabelle: 12421-0002
Vorausberechneter Bevölkerungsstand: Deutschland, Stichtag,;;;;;;
Varianten der Bevölkerungsvorausberechnung, Geschlecht,;;;;;;
Altersjahre;;;;;;
Bevölkerungsvorausberechnungen;;;;;;
Deutschland;;;;;;
Vorausberechneter Bevölkerungsstand (1000);;;;;;
;;;;Stichtag;Stichtag;Stichtag
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;68-Jährige;453;491;491
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;69-Jährige;446;476;497
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;70-Jährige;431;469;531
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;71-Jährige;425;437;512
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;72-Jährige;405;422;513
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;73-Jährige;364;409;491
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;74-Jährige;334;391;469
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;75-Jährige;284;371;443
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;76-Jährige;241;364;428
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;77-Jährige;315;355;414
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;78-Jährige;310;371;408
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;79-Jährige;289;393;388
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;80-Jährige;334;390;374
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;81-Jährige;331;400;340
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;82-Jährige;305;396;319
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;83-Jährige;264;382;298
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;84-Jährige;225;365;273
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;85-Jährige;196;339;248
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;86-Jährige;167;315;230
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;87-Jährige;135;281;210
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;88-Jährige;92;242;205
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;89-Jährige;76;209;200
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;90-Jährige;64;174;181
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;91-Jährige;53;143;168
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;92-Jährige;41;113;148
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;93-Jährige;31;89;126
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;94-Jährige;21;69;105
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;95-Jährige;14;52;84
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;96-Jährige;9;38;66
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;97-Jährige;5;27;49
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;98-Jährige;3;19;35
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;99-Jährige;2;13;25
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;100 Jahre und mehr;3;23;45
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);männlich;Insgesamt;41229;38414;36949
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;unter 1 Jahr;385;321;314
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;1-Jährige;389;321;318
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;2-Jährige;392;321;322
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;3-Jährige;393;320;324
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;4-Jährige;393;319;326
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;5-Jährige;398;318;328
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;6-Jährige;383;317;328
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;7-Jährige;377;317;329
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;8-Jährige;363;317;329
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;9-Jährige;362;318;329
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;10-Jährige;354;320;328
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;11-Jährige;363;322;327
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;12-Jährige;357;326;326
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;13-Jährige;366;329;325
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;14-Jährige;363;333;325
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;15-Jährige;356;338;325
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;16-Jährige;362;343;325
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;17-Jährige;370;349;327
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;18-Jährige;373;356;330
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;19-Jährige;384;364;335
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;20-Jährige;399;373;341
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;21-Jährige;424;383;348
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;22-Jährige;432;393;356
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;23-Jährige;450;403;364
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;24-Jährige;471;412;373
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;25-Jährige;469;419;380
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;26-Jährige;460;426;387
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;27-Jährige;467;432;393
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;28-Jährige;481;436;398
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;29-Jährige;489;440;404
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;30-Jährige;506;442;409
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;31-Jährige;549;443;414
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;32-Jährige;544;443;419
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;33-Jährige;554;442;423
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;34-Jährige;543;445;428
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;35-Jährige;536;429;432
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;36-Jährige;520;422;435
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;37-Jährige;517;408;438
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;38-Jährige;520;405;440
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;39-Jährige;530;397;442
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;40-Jährige;529;405;443
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;41-Jährige;531;399;444
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;42-Jährige;506;410;443
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;43-Jährige;498;409;441
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;44-Jährige;493;404;444
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;45-Jährige;485;412;428
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;46-Jährige;470;423;421
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;47-Jährige;477;426;406
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;48-Jährige;481;435;404
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;49-Jährige;517;447;395
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;50-Jährige;566;467;403
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;51-Jährige;586;471;397
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;52-Jährige;626;484;407
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;53-Jährige;654;500;405
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;54-Jährige;670;494;399
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;55-Jährige;686;481;406
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;56-Jährige;685;484;416
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;57-Jährige;697;495;419
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;58-Jährige;690;499;427
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;59-Jährige;668;512;437
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;60-Jährige;658;551;456
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;61-Jährige;634;542;458
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;62-Jährige;614;548;470
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;63-Jährige;578;533;484
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;64-Jährige;564;523;476
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;65-Jährige;547;504;462
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;66-Jährige;530;497;463
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;67-Jährige;522;495;471
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;68-Jährige;504;500;474
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;69-Jährige;500;494;484
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;70-Jährige;487;491;519
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;71-Jährige;483;463;508
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;72-Jährige;462;451;512
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;73-Jährige;417;441;495
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;74-Jährige;390;428;483
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;75-Jährige;336;409;463
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;76-Jährige;295;409;453
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;77-Jährige;387;405;447
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;78-Jährige;386;427;448
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;79-Jährige;366;457;437
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;80-Jährige;437;461;429
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;81-Jährige;448;478;397
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;82-Jährige;426;483;378
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;83-Jährige;378;475;360
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;84-Jährige;334;465;339
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;85-Jährige;303;440;313
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;86-Jährige;270;420;300
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;87-Jährige;228;387;282
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;88-Jährige;165;345;281
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;89-Jährige;146;309;281
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;90-Jährige;129;266;263
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;91-Jährige;116;227;249
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;92-Jährige;94;185;227
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;93-Jährige;75;153;200
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;94-Jährige;57;123;172
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;95-Jährige;44;97;142
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;96-Jährige;33;76;116
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;97-Jährige;23;57;91
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;98-Jährige;16;43;68
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;99-Jährige;11;31;51
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;100 Jahre und mehr;16;60;106
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);weiblich;Insgesamt;42266;39163;37444
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;unter 1 Jahr;791;660;646
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;1-Jährige;798;659;654
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;2-Jährige;802;658;660
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;3-Jährige;804;656;665
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;4-Jährige;804;654;669
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;5-Jährige;812;651;672
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;6-Jährige;784;650;673
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;7-Jährige;773;649;674
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;8-Jährige;745;650;674
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;9-Jährige;743;652;673
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;10-Jährige;727;655;672
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;11-Jährige;744;660;670
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;12-Jährige;732;666;668
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;13-Jährige;752;673;666
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;14-Jährige;747;681;664
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;15-Jährige;733;690;664
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;16-Jährige;743;701;664
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;17-Jährige;761;712;667
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;18-Jährige;767;726;672
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;19-Jährige;789;742;682
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;20-Jährige;822;761;695
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;21-Jährige;876;780;709
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;22-Jährige;903;800;724
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;23-Jährige;938;818;739
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;24-Jährige;985;835;754
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;25-Jährige;980;850;768
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;26-Jährige;963;863;781
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;27-Jährige;976;874;792
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;28-Jährige;1005;882;803
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;29-Jährige;1019;889;814
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;30-Jährige;1052;894;825
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;31-Jährige;1144;896;835
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;32-Jährige;1128;896;846
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;33-Jährige;1151;893;856
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;34-Jährige;1125;900;865
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;35-Jährige;1104;871;873
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;36-Jährige;1069;858;880
BEV-VARIANTE-01;Geburten und LE moderat, WS niedrig (G2L2W1);Insgesamt;37-Jährige;1061;828;886
